REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME
IGOJO13875,2/2/2023 15:57,5/2/2023 15:57,EEOG5871908,40,L,2/2/2023 22:05
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,NYTE3846547,40,L,4/2/2023 6:26
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,WAXU1988334,40,L,4/2/2023 7:20
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,EPNT6456561,40,L,2/2/2023 20:48
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,FAEE2029090,40,L,3/2/2023 5:48
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,FMRH9236800,40,L,3/2/2023 12:56
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,EVMY7215884,40,L,3/2/2023 15:49
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,KVOA8616152,40,L,3/2/2023 5:20
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,INDG7310285,40,L,3/2/2023 7:38
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,JIWJ6627738,40,L,2/2/2023 21:01
IGOJO13878,2/2/2023 16:13,5/2/2023 16:13,ZLAT8293815,40,L,3/2/2023 4:40
EFS33695,2/2/2023 23:34,5/2/2023 23:34,UIUU6811228,20,E,3/2/2023 1:07
EXP34256-123758,6/2/2023 16:39,6/2/2023 16:39,BERQ4373353,20,L,8/2/2023 10:37
IGOJO13825,31-01-23 18:43:54,3/2/2023 18:43,IBFX3589127,20,L,1/2/2023 23:08
IGOJO13827,31-01-23 18:53:01,3/2/2023 18:53,KYVA2654941,40,L,3/2/2023 7:37
EFS33763,4/2/2023 4:14,7/2/2023 4:14,TYAK0109720,20,E,4/2/2023 6:14
MTZEFS16843,4/2/2023 4:52,7/2/2023 4:52,CTZF0886492,40,E,4/2/2023 3:26
EFS33766,4/2/2023 6:20,7/2/2023 6:20,ESQD2132954,20,E,4/2/2023 9:57
MTZEFS16846,4/2/2023 6:30,7/2/2023 6:30,XGZY7561494,40,E,4/2/2023 5:01
MTZEFS16847,4/2/2023 6:40,7/2/2023 6:40,WJHU8170797,40,E,4/2/2023 5:16
EFS33768,4/2/2023 7:27,7/2/2023 7:27,GXJB8780507,20,E,4/2/2023 7:33
EFS33771,4/2/2023 8:25,7/2/2023 8:25,RKWZ1269287,20,E,4/2/2023 11:06
EFS33773,4/2/2023 9:35,7/2/2023 9:35,IPYP8656078,20,E,4/2/2023 11:06
EFS33775,4/2/2023 10:18,7/2/2023 10:18,MPOZ4006813,20,E,4/2/2023 12:03
EFS33775,4/2/2023 10:18,7/2/2023 10:18,QCOF1005829,20,E,4/2/2023 11:04
EFS33783,4/2/2023 12:58,7/2/2023 12:58,IRUJ4013993,40,E,4/2/2023 12:46
EFS16805-229219-407289,2/2/2023 3:36,5/2/2023 3:36,GOXK9475660,40,L,6/2/2023 23:02
EXP34281-123907,6/2/2023 16:45,6/2/2023 16:45,VSEL8649355,40,L,8/2/2023 10:59
EXP34281-123907,6/2/2023 16:45,6/2/2023 16:45,DTCX5883616,40,L,8/2/2023 11:03
EXP34394-123981,6/2/2023 17:15,6/2/2023 17:15,ESNI0511961,20,L,8/2/2023 11:07
EXP34394-123981,6/2/2023 17:15,6/2/2023 17:15,KLZF1050943,20,L,8/2/2023 11:03
IGOJO13985,6/2/2023 17:15,9/2/2023 17:15,LOXN1374467,40,L,6/2/2023 22:27
EFS16745-228571-415066,30-01-23 20:03:49,2/2/2023 20:03,CTKM8293631,40,L,6/2/2023 23:01
ALO17784-124045-415269,31-01-23 03:26:20,3/2/2023 3:26,PDFL4527337,20,L,9/2/2023 16:03
IGOJO13994,6/2/2023 18:43,9/2/2023 18:43,PBKJ9947684,20,L,7/2/2023 4:13
IGOJO13994,6/2/2023 18:43,9/2/2023 18:43,AASV9327984,20,L,7/2/2023 1:21
IGOJO13994,6/2/2023 18:43,9/2/2023 18:43,UUQO9500099,20,L,7/2/2023 19:06
IGOJO13994,6/2/2023 18:43,9/2/2023 18:43,COAZ8323575,20,L,7/2/2023 1:54
IGOJO13994,6/2/2023 18:43,9/2/2023 18:43,HNLV6800137,20,L,7/2/2023 3:37
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,JWYM1901065,20,L,6/2/2023 22:36
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,YOFI6359767,20,L,7/2/2023 4:11
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,ASBV5292221,20,L,7/2/2023 2:03
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,TDUL1007023,20,L,7/2/2023 4:12
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,NLQY3545196,20,L,7/2/2023 4:11
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,IQNQ9920121,20,L,6/2/2023 22:42
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,VPSO9213582,20,L,7/2/2023 13:40
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,BEWC5596635,20,L,7/2/2023 4:11
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,DJOY8715127,20,L,6/2/2023 21:43
IGOJO13995,6/2/2023 18:43,9/2/2023 18:43,GAFJ0606955,20,L,7/2/2023 2:50
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,OMQK1137653,20,L,11/2/2023 21:43
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,CDXB6074847,20,L,11/2/2023 21:41
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,VSCL2254419,20,L,11/2/2023 21:37
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,MUIY1471844,20,L,11/2/2023 21:36
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,TAYY5249504,20,L,11/2/2023 21:37
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,JZBM6268719,20,L,11/2/2023 21:37
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,OCIA2784474,20,L,11/2/2023 21:43
EXP34270-123796,6/2/2023 18:46,6/2/2023 18:46,NDQO0986520,20,L,11/2/2023 21:43
EXP34303-123871,6/2/2023 18:56,6/2/2023 18:56,OJEY8468208,20,L,8/2/2023 10:36
EXP34303-123871,6/2/2023 18:56,6/2/2023 18:56,ETJY4927055,20,L,8/2/2023 10:40
EXP34303-123871,6/2/2023 18:56,6/2/2023 18:56,ZAYS5102644,20,L,8/2/2023 10:41
EXP34303-123871,6/2/2023 18:56,6/2/2023 18:56,STRV0924671,20,L,8/2/2023 10:39
EXP34303-123871,6/2/2023 18:56,6/2/2023 18:56,YNNG8882244,20,L,8/2/2023 10:38
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,YJGZ6810692,20,L,8/2/2023 10:39
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,GYHA6386637,20,L,8/2/2023 10:41
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,QOPA9768087,20,L,8/2/2023 10:40
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,ILFB0655744,20,L,8/2/2023 10:42
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,AMRW6966516,20,L,8/2/2023 10:34
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,IUSI7734534,20,L,8/2/2023 10:38
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,VAEN9056122,20,L,8/2/2023 10:43
EXP34284-123839,6/2/2023 19:26,6/2/2023 19:26,BVNW3991405,20,L,8/2/2023 10:39
MTZEFS16852,4/2/2023 13:00,7/2/2023 13:00,GEXN8948641,40,E,10/2/2023 18:30
MTZEFS16853,4/2/2023 13:02,7/2/2023 13:02,POAI7190372,40,E,4/2/2023 11:37
IGOJO13941,4/2/2023 13:12,7/2/2023 13:12,JCQZ2785188,20,L,9/2/2023 23:14
IGOJO13941,4/2/2023 13:12,7/2/2023 13:12,DSBN3391385,20,L,9/2/2023 22:08
EFS33785,4/2/2023 13:28,7/2/2023 13:28,OWZX0735738,40,E,4/2/2023 17:12
EFS33788,4/2/2023 13:51,7/2/2023 13:51,YFUS5435677,40,E,4/2/2023 21:18
EFS33792,4/2/2023 15:35,7/2/2023 15:35,FPRQ0747406,20,E,4/2/2023 23:30
EFS33793,4/2/2023 15:38,7/2/2023 15:38,MHPM4783408,20,E,4/2/2023 17:47
EFS33793,4/2/2023 15:38,7/2/2023 15:38,LMQF3522012,20,E,4/2/2023 17:12
EXP34210-123646,4/2/2023 15:57,4/2/2023 15:57,KIHR1432743,20,L,8/2/2023 10:59
EXP34268-123794,4/2/2023 16:01,4/2/2023 16:01,FPOI8420795,20,L,8/2/2023 11:00
EXP34268-123794,4/2/2023 16:01,4/2/2023 16:01,PFYI5767145,20,L,8/2/2023 11:05
EFS33795,4/2/2023 16:12,7/2/2023 16:12,KZZO4289824,20,E,4/2/2023 15:08
EFS33795,4/2/2023 16:12,7/2/2023 16:12,WHXH9834604,20,E,4/2/2023 15:08
EFS16777-228735-404455,31-01-23 11:48:18,3/2/2023 11:48,IQJM0120446,40,L,10/2/2023 1:20
IGOJO13947,4/2/2023 16:55,7/2/2023 16:55,AGMI8361866,20,L,5/2/2023 23:13
IGOJO13949,4/2/2023 17:06,7/2/2023 17:06,ZXFK8220556,40,L,5/2/2023 5:12
ALO17818-123919-415966,2/2/2023 2:34,5/2/2023 2:34,NROV6240871,40,L,5/2/2023 17:11
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,IVZV7756605,20,L,8/2/2023 10:57
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,IXNR9250627,20,L,8/2/2023 10:58
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,JIGL3940949,20,L,8/2/2023 10:55
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,FYBZ8887358,20,L,8/2/2023 11:08
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,BCZV8497219,20,L,8/2/2023 10:54
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,IQBW7076749,20,L,8/2/2023 10:56
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,QGKG7228379,20,L,8/2/2023 10:55
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,FQDE0602388,20,L,8/2/2023 10:54
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,GTTP1144275,20,L,8/2/2023 10:57
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,DYKI1243402,20,L,8/2/2023 10:54
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,DGFO2788343,20,L,8/2/2023 10:54
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,KVNV6583341,20,L,8/2/2023 10:54
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,WOFF8865304,20,L,8/2/2023 10:55
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,WPVL1016267,20,L,8/2/2023 10:56
EXP34069-123314,4/2/2023 17:11,4/2/2023 17:11,BWLT6398590,20,L,8/2/2023 10:57
IGOJO03301,4/2/2023 17:18,7/2/2023 17:18,QLEP6419579,40,L,6/2/2023 14:29
IGOJO03301,4/2/2023 17:18,7/2/2023 17:18,ZDEN2722210,40,L,6/2/2023 0:00
IGOJO03301,4/2/2023 17:18,7/2/2023 17:18,SQDI4754459,40,L,6/2/2023 23:43
IGOJO03301,4/2/2023 17:18,7/2/2023 17:18,GSYJ6665677,40,L,6/2/2023 13:54
IGOJO03301,4/2/2023 17:18,7/2/2023 17:18,EPGN8044828,40,L,6/2/2023 19:15
EFS33613,1/2/2023 11:42,4/2/2023 11:42,YISH0538695,20,E,4/2/2023 12:47
EFS33676,2/2/2023 15:21,5/2/2023 15:21,KTDG3463878,40,E,2/2/2023 17:46
EFS33677,2/2/2023 15:26,5/2/2023 15:26,RTRH0291975,40,E,2/2/2023 17:42
IGOJO13880,2/2/2023 16:45,5/2/2023 16:45,WGEV7738246,40,L,3/2/2023 5:30
IGOJO13880,2/2/2023 16:45,5/2/2023 16:45,KIOR5487482,40,L,3/2/2023 5:51
IGOJO13880,2/2/2023 16:45,5/2/2023 16:45,ORIE2874785,40,L,3/2/2023 5:52
IGOJO13880,2/2/2023 16:45,5/2/2023 16:45,PBOQ4287656,40,L,3/2/2023 15:50
IGOJO13882,2/2/2023 16:50,5/2/2023 16:50,GJYD3316651,40,L,2/2/2023 17:32
EFS33679,2/2/2023 17:54,5/2/2023 17:54,GJOT2274222,40,E,2/2/2023 20:53
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,NFDN6345449,40,L,4/2/2023 20:46
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,KMQY8879855,40,L,5/2/2023 10:57
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,OOOP4520965,40,L,4/2/2023 14:26
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,JDPW8457103,40,L,4/2/2023 14:50
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,ISYC7155500,40,L,5/2/2023 3:13
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,JYYT9546962,40,L,5/2/2023 16:47
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,UGKX5173147,40,L,4/2/2023 7:59
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,XCFO2949350,40,L,3/2/2023 20:16
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,HTBA6489714,40,L,3/2/2023 20:18
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,TMJA5299370,40,L,5/2/2023 17:47
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,KHVF9982950,40,L,5/2/2023 16:53
IGOJO13889,2/2/2023 18:04,5/2/2023 18:04,KPTG1172457,40,L,3/2/2023 20:33
ALO17801-123923-415486,31-01-23 18:58:56,3/2/2023 18:58,GWDF8846550,20,L,5/2/2023 17:05
EFS33796,4/2/2023 17:33,7/2/2023 17:33,MGDC1806247,40,E,4/2/2023 18:09
EFS33796,4/2/2023 17:33,7/2/2023 17:33,FZYV8024774,40,E,4/2/2023 17:47
EFS33796,4/2/2023 17:33,7/2/2023 17:33,VBOS9442403,40,E,4/2/2023 17:12
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,YVYM3727063,20,L,8/2/2023 20:41
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,MRAK8880818,20,L,7/2/2023 1:05
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,BXZV0589087,20,L,7/2/2023 1:23
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,BRNQ7183095,20,L,8/2/2023 1:46
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,RYYU1035818,20,L,8/2/2023 20:40
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,QOLE9228804,20,L,9/2/2023 0:48
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,UXTC0948473,20,L,8/2/2023 17:38
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,FLYQ6659979,20,L,8/2/2023 0:54
IGOJO13953,4/2/2023 17:52,7/2/2023 17:52,YUFI3273555,20,L,7/2/2023 6:20
IGOJO13954,4/2/2023 17:53,7/2/2023 17:53,MMWV8136008,20,L,4/2/2023 22:48
IGOJO03302,4/2/2023 18:28,7/2/2023 18:28,TCCF3024282,20,L,4/2/2023 17:48
IGOJO03302,4/2/2023 18:28,7/2/2023 18:28,GOBY4880031,20,L,4/2/2023 17:47
EFS33804,4/2/2023 20:40,7/2/2023 20:40,ILGG9323121,20,E,5/2/2023 2:23
EFS33804,4/2/2023 20:40,7/2/2023 20:40,QJIL5832961,20,E,5/2/2023 8:47
EFS33806,4/2/2023 21:52,7/2/2023 21:52,BHLT6417836,40,E,5/2/2023 9:16
EFS33808,4/2/2023 23:04,7/2/2023 23:04,JZFD3280519,40,E,5/2/2023 11:37
EFS33808,4/2/2023 23:04,7/2/2023 23:04,DJWK1342773,20,E,6/2/2023 3:14
IGOJO13765,30-01-23 16:09:20,2/2/2023 16:09,RIDU4533982,40,L,2/2/2023 5:29
IGOJO13765,30-01-23 16:09:20,2/2/2023 16:09,SZPD5587064,40,L,3/2/2023 4:02
IGOJO13765,30-01-23 16:09:20,2/2/2023 16:09,ZVZH1712077,40,L,2/2/2023 5:08
IGOJO13876,2/2/2023 16:07,5/2/2023 16:07,APHU3953074,40,L,2/2/2023 21:38
IGOJO13877,2/2/2023 16:07,5/2/2023 16:07,ZDVY6670795,40,L,3/2/2023 7:32
IGOJO03297,2/2/2023 19:28,5/2/2023 19:28,HDKT6872352,20,L,7/2/2023 15:15
EFS33689,2/2/2023 19:38,5/2/2023 19:38,USVJ5175378,40,E,2/2/2023 22:34
IGOJO13980,6/2/2023 15:24,9/2/2023 15:24,BPWC1951488,40,L,7/2/2023 5:10
IGOJO13980,6/2/2023 15:24,9/2/2023 15:24,YUUS9212423,40,L,7/2/2023 7:52
IGOJO13980,6/2/2023 15:24,9/2/2023 15:24,AJXW0394500,40,L,7/2/2023 3:16
IGOJO13980,6/2/2023 15:24,9/2/2023 15:24,GERF4872301,40,L,7/2/2023 3:38
EXP34337-123932,6/2/2023 17:00,6/2/2023 17:00,PGOT7516801,40,L,8/2/2023 11:00
ALO17767-124038-415167,30-01-23 20:39:15,2/2/2023 20:39,BZHJ7714044,20,L,9/2/2023 16:03
IGOJO13991,6/2/2023 17:54,9/2/2023 17:54,RWGG6859525,40,L,7/2/2023 5:04
EXP34316-123888,6/2/2023 18:00,6/2/2023 18:00,EHNB4982786,20,L,8/2/2023 9:57
IGOJO13993,6/2/2023 18:40,9/2/2023 18:40,ZCPA7340320,20,L,7/2/2023 17:10
IGOJO13993,6/2/2023 18:40,9/2/2023 18:40,UAJL1462838,20,L,7/2/2023 13:09
IGOJO13993,6/2/2023 18:40,9/2/2023 18:40,UEMS4658304,20,L,7/2/2023 17:12
IGOJO13993,6/2/2023 18:40,9/2/2023 18:40,BAZX5452525,20,L,7/2/2023 11:26
IGOJO13993,6/2/2023 18:40,9/2/2023 18:40,IAUQ5323691,20,L,7/2/2023 17:10
EFS33879,6/2/2023 19:31,9/2/2023 19:31,YUVR1327586,20,E,7/2/2023 1:57
EFS33882,6/2/2023 19:36,9/2/2023 19:36,PJCH7987143,20,E,7/2/2023 0:58
EFS16637-227618-404738,25-01-23 02:47:34,28-01-23 02:47:34,DOYQ8716751,40,E,10/2/2023 1:19
REPO05962,31-01-23 12:29:48,31-01-23 12:29:48,EQHC1737017,40,E,10/3/2023 16:52
REPO05962,31-01-23 12:29:48,31-01-23 12:29:48,CBXD5067249,40,E,25-02-23 22:27:38
EFS16640-227622-409888,25-01-23 03:04:22,28-01-23 03:04:22,HDTD8898549,40,L,6/2/2023 22:54
EFS16673-227906-412567,27-01-23 01:33:16,30-01-23 01:33:16,REMR7830787,40,L,1/2/2023 22:50
EFS16638-227619-406887,25-01-23 02:54:20,28-01-23 02:54:20,AVIH9230958,40,L,6/2/2023 22:55
IGOJO13806,31-01-23 16:12:31,3/2/2023 16:12,CUGX9792516,20,L,3/2/2023 0:51
IGOJO13806,31-01-23 16:12:31,3/2/2023 16:12,MKQD9700399,20,L,3/2/2023 2:46
IGOJO13806,31-01-23 16:12:31,3/2/2023 16:12,RYOG5784501,20,L,4/2/2023 0:39
IGOJO13806,31-01-23 16:12:31,3/2/2023 16:12,ETKE8963672,20,L,2/2/2023 1:06
IGOJO13809,31-01-23 16:41:23,3/2/2023 16:41,AUGC9628590,40,L,2/2/2023 3:57
IGOJO13809,31-01-23 16:41:23,3/2/2023 16:41,COTG1999685,40,L,2/2/2023 4:02
IGOJO13809,31-01-23 16:41:23,3/2/2023 16:41,LLCP4833335,40,L,2/2/2023 7:06
IGOJO13810,31-01-23 16:43:53,3/2/2023 16:43,FWLH1250857,40,L,2/2/2023 3:58
MTZEFS16855,5/2/2023 1:55,8/2/2023 1:55,GYZY0954050,40,E,5/2/2023 0:26
MTZEFS16866,5/2/2023 10:24,8/2/2023 10:24,BJFF9948135,40,E,5/2/2023 8:59
MTZEFS16866,5/2/2023 10:24,8/2/2023 10:24,CYYM6661554,40,E,5/2/2023 8:58
MTZEFS16866,5/2/2023 10:24,8/2/2023 10:24,YBUB2349272,40,E,5/2/2023 8:59
MTZEFS16869,5/2/2023 12:13,8/2/2023 12:13,SVET5966339,20,E,5/2/2023 10:47
EFS33818,5/2/2023 12:15,8/2/2023 12:15,YJZC5209710,20,E,6/2/2023 9:18
EFS33818,5/2/2023 12:15,8/2/2023 12:15,PXBE9011325,20,E,5/2/2023 14:57
EFS33818,5/2/2023 12:15,8/2/2023 12:15,DWVL1041976,20,E,5/2/2023 14:57
EFS33820,5/2/2023 13:04,8/2/2023 13:04,JRRT6237995,40,E,5/2/2023 16:50
EFS33823,5/2/2023 14:40,8/2/2023 14:40,ETCH8051056,20,E,5/2/2023 16:28
EFS33823,5/2/2023 14:40,8/2/2023 14:40,CDOZ3595230,20,E,5/2/2023 16:53
EFS33827,5/2/2023 14:52,8/2/2023 14:52,JEIT9468223,40,E,6/2/2023 12:26
EFS33827,5/2/2023 14:52,8/2/2023 14:52,MEEJ2262024,40,E,5/2/2023 21:01
EFS33827,5/2/2023 14:52,8/2/2023 14:52,TYPF0142465,40,E,6/2/2023 12:29
EFS33830,5/2/2023 15:11,8/2/2023 15:11,HEVP2405570,40,E,5/2/2023 16:49
EFS33830,5/2/2023 15:11,8/2/2023 15:11,XNNX4773575,40,E,5/2/2023 16:49
EFS33830,5/2/2023 15:11,8/2/2023 15:11,LSAP8951203,40,E,5/2/2023 15:07
IGOJO13782,30-01-23 20:55:53,2/2/2023 20:55,NRFQ3018006,20,L,2/2/2023 1:18
IGOJO13790,30-01-23 22:06:23,2/2/2023 22:06,QYEL6851935,40,,2/2/2023 15:12
IGOJO13790,30-01-23 22:06:23,2/2/2023 22:06,WTVE2432958,40,,2/2/2023 15:12
IGOJO13795,31-01-23 12:53:56,3/2/2023 12:53,JWUA0529041,20,L,4/2/2023 15:37
IGOJO13795,31-01-23 12:53:56,3/2/2023 12:53,TPJP5506981,20,L,3/2/2023 2:40
IGOJO13795,31-01-23 12:53:56,3/2/2023 12:53,MZQD7043171,20,L,5/2/2023 21:43
IGOJO13795,31-01-23 12:53:56,3/2/2023 12:53,BTQC3472286,20,L,2/2/2023 14:34
IGOJO13807,31-01-23 16:16:58,3/2/2023 16:16,WBMU2644835,40,L,3/2/2023 3:40
IGOJO13815,31-01-23 17:28:51,3/2/2023 17:28,ASHU1350088,40,L,10/2/2023 0:15
IGOJO03275,31-01-23 17:42:11,3/2/2023 17:42,ROGC4413603,40,L,2/2/2023 15:04
IGOJO03275,31-01-23 17:42:11,3/2/2023 17:42,HJWZ1734246,40,L,2/2/2023 12:51
IGOJO03275,31-01-23 17:42:11,3/2/2023 17:42,LTET5183459,40,L,2/2/2023 9:25
